Country,Date,Total number of Cases
Brazil,2020-01-22,0
Brazil,2020-01-23,0
Brazil,2020-01-24,0
Brazil,2020-01-25,0
Brazil,2020-01-26,0
Brazil,2020-01-27,0
Brazil,2020-01-28,0
Brazil,2020-01-29,0
Brazil,2020-01-30,0
Brazil,2020-01-31,0
Brazil,2020-02-01,0
Brazil,2020-02-02,0
Brazil,2020-02-03,0
Brazil,2020-02-04,0
Brazil,2020-02-05,0
Brazil,2020-02-06,0
Brazil,2020-02-07,0
Brazil,2020-02-08,0
Brazil,2020-02-09,0
Brazil,2020-02-10,0
Brazil,2020-02-11,0
Brazil,2020-02-12,0
Brazil,2020-02-13,0
Brazil,2020-02-14,0
Brazil,2020-02-15,0
Brazil,2020-02-16,0
Brazil,2020-02-17,0
Brazil,2020-02-18,0
Brazil,2020-02-19,0
Brazil,2020-02-20,0
Brazil,2020-02-21,0
Brazil,2020-02-22,0
Brazil,2020-02-23,0
Brazil,2020-02-24,0
Brazil,2020-02-25,0
Brazil,2020-02-26,1
Brazil,2020-02-27,1
Brazil,2020-02-28,1
Brazil,2020-02-29,2
Brazil,2020-03-01,2
Brazil,2020-03-02,2
Brazil,2020-03-03,2
Brazil,2020-03-04,4
Brazil,2020-03-05,4
Brazil,2020-03-06,13
Brazil,2020-03-07,13
Brazil,2020-03-08,20
Brazil,2020-03-09,25
Brazil,2020-03-10,31
Brazil,2020-03-11,38
Brazil,2020-03-12,52
Brazil,2020-03-13,151
Brazil,2020-03-14,151
Brazil,2020-03-15,162
Brazil,2020-03-16,200
Brazil,2020-03-17,321
Brazil,2020-03-18,372
Brazil,2020-03-19,621
Brazil,2020-03-20,793
Brazil,2020-03-21,1021
Brazil,2020-03-22,1546
Brazil,2020-03-23,1924
Brazil,2020-03-24,2247
Brazil,2020-03-25,2554
Brazil,2020-03-26,2985
Brazil,2020-03-27,3417
Brazil,2020-03-28,3904
Brazil,2020-03-29,4256
Brazil,2020-03-30,4579
Brazil,2020-03-31,5717
Brazil,2020-04-01,6836
Brazil,2020-04-02,8044
Brazil,2020-04-03,9056
Brazil,2020-04-04,10360
Brazil,2020-04-05,11130
Brazil,2020-04-06,12161
Brazil,2020-04-07,14034
Brazil,2020-04-08,16170
Brazil,2020-04-09,18092
Brazil,2020-04-10,19638
Brazil,2020-04-11,20727
Brazil,2020-04-12,22192
Brazil,2020-04-13,23430
Brazil,2020-04-14,25262
Brazil,2020-04-15,28320
Brazil,2020-04-16,30425
Brazil,2020-04-17,33682
Brazil,2020-04-18,36658
Brazil,2020-04-19,38654
Brazil,2020-04-20,40743
Brazil,2020-04-21,43079
Brazil,2020-04-22,45757
Brazil,2020-04-23,50036
Brazil,2020-04-24,54043
Brazil,2020-04-25,59324
Brazil,2020-04-26,63100
Brazil,2020-04-27,67446
Brazil,2020-04-28,73235
Brazil,2020-04-29,79685
Brazil,2020-04-30,87187
Brazil,2020-05-01,92202
Brazil,2020-05-02,97100
Brazil,2020-05-03,101826
Brazil,2020-05-04,108620
Brazil,2020-05-05,115455
Brazil,2020-05-06,126611
Brazil,2020-05-07,135773
Brazil,2020-05-08,146894
Brazil,2020-05-09,156061
Brazil,2020-05-10,162699
Brazil,2020-05-11,169594
Brazil,2020-05-12,178214
Brazil,2020-05-13,190137
Brazil,2020-05-14,203165
Brazil,2020-05-15,220291
Brazil,2020-05-16,233511
Brazil,2020-05-17,241080
Brazil,2020-05-18,255368
Brazil,2020-05-19,271885
Brazil,2020-05-20,291579
Brazil,2020-05-21,310087
Brazil,2020-05-22,330890
Brazil,2020-05-23,347398
Brazil,2020-05-24,363211
Brazil,2020-05-25,374898
Brazil,2020-05-26,391222
Brazil,2020-05-27,411821
Brazil,2020-05-28,438238
Brazil,2020-05-29,465166
Brazil,2020-05-30,498440
Brazil,2020-05-31,514849
Brazil,2020-06-01,526447
Brazil,2020-06-02,555383
Brazil,2020-06-03,584016
Brazil,2020-06-04,614941
Brazil,2020-06-05,645771
Brazil,2020-06-06,672846
Brazil,2020-06-07,691758
Brazil,2020-06-08,707412
Brazil,2020-06-09,739503
Brazil,2020-06-10,772416
Brazil,2020-06-11,802828
Brazil,2020-06-12,828810
Brazil,2020-06-13,850514
Brazil,2020-06-14,867624
Brazil,2020-06-15,888271
Brazil,2020-06-16,923189
Brazil,2020-06-17,955377
Brazil,2020-06-18,978142
Brazil,2020-06-19,1032913
Brazil,2020-06-20,1067579
Brazil,2020-06-21,1083341
Brazil,2020-06-22,1106470
Brazil,2020-06-23,1145906
Brazil,2020-06-24,1188631
Brazil,2020-06-25,1228114
Brazil,2020-06-26,1274974
Brazil,2020-06-27,1313667
Brazil,2020-06-28,1344143
Brazil,2020-06-29,1368195
Brazil,2020-06-30,1402041
Brazil,2020-07-01,1448753
Brazil,2020-07-02,1496858
Brazil,2020-07-03,1539081
Brazil,2020-07-04,1577004
Brazil,2020-07-05,1603055
Brazil,2020-07-06,1623284
Brazil,2020-07-07,1668589
Brazil,2020-07-08,1713160
Brazil,2020-07-09,1755779
Brazil,2020-07-10,1800827
Brazil,2020-07-11,1839850
Brazil,2020-07-12,1864681
Brazil,2020-07-13,1884967
Brazil,2020-07-14,1926824
Brazil,2020-07-15,1966748
Brazil,2020-07-16,2012151
Brazil,2020-07-17,2046328
Brazil,2020-07-18,2074860
Brazil,2020-07-19,2098389
Brazil,2020-07-20,2118646
Brazil,2020-07-21,2159654
Brazil,2020-07-22,2227514
Brazil,2020-07-23,2287475
Brazil,2020-07-24,2343366
Brazil,2020-07-25,2394513
Brazil,2020-07-26,2419091
Brazil,2020-07-27,2442375
Brazil,2020-07-28,2483191
Brazil,2020-07-29,2552265
Brazil,2020-07-30,2610102
Brazil,2020-07-31,2662485
Canada,2020-01-22,0
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,1
Canada,2020-01-27,1
Canada,2020-01-28,2
Canada,2020-01-29,2
Canada,2020-01-30,2
Canada,2020-01-31,4
Canada,2020-02-01,4
Canada,2020-02-02,4
Canada,2020-02-03,4
Canada,2020-02-04,4
Canada,2020-02-05,5
Canada,2020-02-06,5
Canada,2020-02-07,7
Canada,2020-02-08,7
Canada,2020-02-09,7
Canada,2020-02-10,7
Canada,2020-02-11,7
Canada,2020-02-12,7
Canada,2020-02-13,7
Canada,2020-02-14,7
Canada,2020-02-15,7
Canada,2020-02-16,7
Canada,2020-02-17,8
Canada,2020-02-18,8
Canada,2020-02-19,8
Canada,2020-02-20,8
Canada,2020-02-21,9
Canada,2020-02-22,9
Canada,2020-02-23,9
Canada,2020-02-24,10
Canada,2020-02-25,11
Canada,2020-02-26,11
Canada,2020-02-27,13
Canada,2020-02-28,14
Canada,2020-02-29,20
Canada,2020-03-01,24
Canada,2020-03-02,27
Canada,2020-03-03,30
Canada,2020-03-04,33
Canada,2020-03-05,37
Canada,2020-03-06,49
Canada,2020-03-07,54
Canada,2020-03-08,64
Canada,2020-03-09,77
Canada,2020-03-10,79
Canada,2020-03-11,108
Canada,2020-03-12,117
Canada,2020-03-13,193
Canada,2020-03-14,198
Canada,2020-03-15,252
Canada,2020-03-16,415
Canada,2020-03-17,478
Canada,2020-03-18,657
Canada,2020-03-19,800
Canada,2020-03-20,943
Canada,2020-03-21,1277
Canada,2020-03-22,1469
Canada,2020-03-23,2088
Canada,2020-03-24,2790
Canada,2020-03-25,3251
Canada,2020-03-26,4042
Canada,2020-03-27,4682
Canada,2020-03-28,5576
Canada,2020-03-29,6280
Canada,2020-03-30,7398
Canada,2020-03-31,8527
Canada,2020-04-01,9560
Canada,2020-04-02,11284
Canada,2020-04-03,12437
Canada,2020-04-04,12978
Canada,2020-04-05,15756
Canada,2020-04-06,16563
Canada,2020-04-07,17872
Canada,2020-04-08,19141
Canada,2020-04-09,20654
Canada,2020-04-10,22059
Canada,2020-04-11,23316
Canada,2020-04-12,24299
Canada,2020-04-13,25680
Canada,2020-04-14,27035
Canada,2020-04-15,28209
Canada,2020-04-16,30809
Canada,2020-04-17,32814
Canada,2020-04-18,34356
Canada,2020-04-19,35633
Canada,2020-04-20,37658
Canada,2020-04-21,39402
Canada,2020-04-22,41663
Canada,2020-04-23,43299
Canada,2020-04-24,44919
Canada,2020-04-25,46371
Canada,2020-04-26,48033
Canada,2020-04-27,49616
Canada,2020-04-28,51150
Canada,2020-04-29,52865
Canada,2020-04-30,54457
Canada,2020-05-01,56343
Canada,2020-05-02,57926
Canada,2020-05-03,60504
Canada,2020-05-04,61957
Canada,2020-05-05,63215
Canada,2020-05-06,64694
Canada,2020-05-07,66201
Canada,2020-05-08,67674
Canada,2020-05-09,68918
Canada,2020-05-10,70091
Canada,2020-05-11,71264
Canada,2020-05-12,72419
Canada,2020-05-13,73568
Canada,2020-05-14,74781
Canada,2020-05-15,75959
Canada,2020-05-16,77206
Canada,2020-05-17,78332
Canada,2020-05-18,79411
Canada,2020-05-19,80493
Canada,2020-05-20,81575
Canada,2020-05-21,82742
Canada,2020-05-22,83947
Canada,2020-05-23,85151
Canada,2020-05-24,86106
Canada,2020-05-25,87119
Canada,2020-05-26,88090
Canada,2020-05-27,88989
Canada,2020-05-28,89976
Canada,2020-05-29,90909
Canada,2020-05-30,91681
Canada,2020-05-31,92479
Canada,2020-06-01,93288
Canada,2020-06-02,93960
Canada,2020-06-03,94641
Canada,2020-06-04,95269
Canada,2020-06-05,95947
Canada,2020-06-06,96475
Canada,2020-06-07,97178
Canada,2020-06-08,97779
Canada,2020-06-09,98241
Canada,2020-06-10,98720
Canada,2020-06-11,99159
Canada,2020-06-12,99595
Canada,2020-06-13,100043
Canada,2020-06-14,100404
Canada,2020-06-15,100763
Canada,2020-06-16,101087
Canada,2020-06-17,101491
Canada,2020-06-18,101877
Canada,2020-06-19,102314
Canada,2020-06-20,102762
Canada,2020-06-21,103078
Canada,2020-06-22,103418
Canada,2020-06-23,103767
Canada,2020-06-24,104087
Canada,2020-06-25,104463
Canada,2020-06-26,104629
Canada,2020-06-27,104878
Canada,2020-06-28,105193
Canada,2020-06-29,105830
Canada,2020-06-30,106097
Canada,2020-07-01,106288
Canada,2020-07-02,106643
Canada,2020-07-03,106962
Canada,2020-07-04,107185
Canada,2020-07-05,107394
Canada,2020-07-06,107815
Canada,2020-07-07,108023
Canada,2020-07-08,108334
Canada,2020-07-09,108656
Canada,2020-07-10,108984
Canada,2020-07-11,109150
Canada,2020-07-12,109348
Canada,2020-07-13,109984
Canada,2020-07-14,110350
Canada,2020-07-15,110693
Canada,2020-07-16,111144
Canada,2020-07-17,111559
Canada,2020-07-18,111875
Canada,2020-07-19,112168
Canada,2020-07-20,112938
Canada,2020-07-21,113473
Canada,2020-07-22,113790
Canada,2020-07-23,114398
Canada,2020-07-24,115115
Canada,2020-07-25,115470
Canada,2020-07-26,115789
Canada,2020-07-27,116471
Canada,2020-07-28,116871
Canada,2020-07-29,117357
Canada,2020-07-30,117677
Canada,2020-07-31,118281
China,2020-01-22,548
China,2020-01-23,643
China,2020-01-24,920
China,2020-01-25,1406
China,2020-01-26,2075
China,2020-01-27,2877
China,2020-01-28,5509
China,2020-01-29,6087
China,2020-01-30,8141
China,2020-01-31,9802
China,2020-02-01,11891
China,2020-02-02,16630
China,2020-02-03,19716
China,2020-02-04,23707
China,2020-02-05,27440
China,2020-02-06,30587
China,2020-02-07,34110
China,2020-02-08,36814
China,2020-02-09,39829
China,2020-02-10,42354
China,2020-02-11,44386
China,2020-02-12,44759
China,2020-02-13,59895
China,2020-02-14,66358
China,2020-02-15,68413
China,2020-02-16,70513
China,2020-02-17,72434
China,2020-02-18,74211
China,2020-02-19,74619
China,2020-02-20,75077
China,2020-02-21,75550
China,2020-02-22,77001
China,2020-02-23,77022
China,2020-02-24,77241
China,2020-02-25,77754
China,2020-02-26,78166
China,2020-02-27,78600
China,2020-02-28,78928
China,2020-02-29,79356
China,2020-03-01,79932
China,2020-03-02,80136
China,2020-03-03,80261
China,2020-03-04,80386
China,2020-03-05,80537
China,2020-03-06,80690
China,2020-03-07,80770
China,2020-03-08,80823
China,2020-03-09,80860
China,2020-03-10,80887
China,2020-03-11,80921
China,2020-03-12,80932
China,2020-03-13,80945
China,2020-03-14,80977
China,2020-03-15,81003
China,2020-03-16,81033
China,2020-03-17,81058
China,2020-03-18,81102
China,2020-03-19,81156
China,2020-03-20,81250
China,2020-03-21,81305
China,2020-03-22,81435
China,2020-03-23,81498
China,2020-03-24,81591
China,2020-03-25,81661
China,2020-03-26,81782
China,2020-03-27,81897
China,2020-03-28,81999
China,2020-03-29,82122
China,2020-03-30,82198
China,2020-03-31,82279
China,2020-04-01,82361
China,2020-04-02,82432
China,2020-04-03,82511
China,2020-04-04,82543
China,2020-04-05,82602
China,2020-04-06,82665
China,2020-04-07,82718
China,2020-04-08,82809
China,2020-04-09,82883
China,2020-04-10,82941
China,2020-04-11,83014
China,2020-04-12,83134
China,2020-04-13,83213
China,2020-04-14,83306
China,2020-04-15,83356
China,2020-04-16,83403
China,2020-04-17,83760
China,2020-04-18,83787
China,2020-04-19,83805
China,2020-04-20,83817
China,2020-04-21,83853
China,2020-04-22,83868
China,2020-04-23,83884
China,2020-04-24,83899
China,2020-04-25,83909
China,2020-04-26,83912
China,2020-04-27,83918
China,2020-04-28,83940
China,2020-04-29,83944
China,2020-04-30,83956
China,2020-05-01,83959
China,2020-05-02,83959
China,2020-05-03,83964
China,2020-05-04,83966
China,2020-05-05,83968
China,2020-05-06,83970
China,2020-05-07,83975
China,2020-05-08,83976
China,2020-05-09,83990
China,2020-05-10,84010
China,2020-05-11,84011
China,2020-05-12,84018
China,2020-05-13,84024
China,2020-05-14,84029
China,2020-05-15,84038
China,2020-05-16,84044
China,2020-05-17,84054
China,2020-05-18,84063
China,2020-05-19,84063
China,2020-05-20,84063
China,2020-05-21,84063
China,2020-05-22,84081
China,2020-05-23,84084
China,2020-05-24,84095
China,2020-05-25,84102
China,2020-05-26,84103
China,2020-05-27,84106
China,2020-05-28,84106
China,2020-05-29,84123
China,2020-05-30,84128
China,2020-05-31,84146
China,2020-06-01,84154
China,2020-06-02,84161
China,2020-06-03,84160
China,2020-06-04,84171
China,2020-06-05,84177
China,2020-06-06,84186
China,2020-06-07,84191
China,2020-06-08,84195
China,2020-06-09,84198
China,2020-06-10,84209
China,2020-06-11,84216
China,2020-06-12,84228
China,2020-06-13,84286
China,2020-06-14,84335
China,2020-06-15,84378
China,2020-06-16,84422
China,2020-06-17,84458
China,2020-06-18,84494
China,2020-06-19,84494
China,2020-06-20,84553
China,2020-06-21,84572
China,2020-06-22,84624
China,2020-06-23,84653
China,2020-06-24,84673
China,2020-06-25,84701
China,2020-06-26,84725
China,2020-06-27,84743
China,2020-06-28,84757
China,2020-06-29,84780
China,2020-06-30,84785
China,2020-07-01,84816
China,2020-07-02,84830
China,2020-07-03,84838
China,2020-07-04,84857
China,2020-07-05,84871
China,2020-07-06,84889
China,2020-07-07,84917
China,2020-07-08,84950
China,2020-07-09,84992
China,2020-07-10,84992
China,2020-07-11,85071
China,2020-07-12,85117
China,2020-07-13,85117
China,2020-07-14,85226
China,2020-07-15,85246
China,2020-07-16,85327
China,2020-07-17,85402
China,2020-07-18,85418
China,2020-07-19,85503
China,2020-07-20,85622
China,2020-07-21,85708
China,2020-07-22,85906
China,2020-07-23,86045
China,2020-07-24,86202
China,2020-07-25,86381
China,2020-07-26,86570
China,2020-07-27,86783
China,2020-07-28,86990
China,2020-07-29,87213
China,2020-07-30,87489
China,2020-07-31,87655
France,2020-01-22,0
France,2020-01-23,0
France,2020-01-24,2
France,2020-01-25,3
France,2020-01-26,3
France,2020-01-27,3
France,2020-01-28,4
France,2020-01-29,5
France,2020-01-30,5
France,2020-01-31,5
France,2020-02-01,6
France,2020-02-02,6
France,2020-02-03,6
France,2020-02-04,6
France,2020-02-05,6
France,2020-02-06,6
France,2020-02-07,6
France,2020-02-08,11
France,2020-02-09,11
France,2020-02-10,11
France,2020-02-11,11
France,2020-02-12,11
France,2020-02-13,11
France,2020-02-14,11
France,2020-02-15,12
France,2020-02-16,12
France,2020-02-17,12
France,2020-02-18,12
France,2020-02-19,12
France,2020-02-20,12
France,2020-02-21,12
France,2020-02-22,12
France,2020-02-23,12
France,2020-02-24,12
France,2020-02-25,14
France,2020-02-26,18
France,2020-02-27,38
France,2020-02-28,57
France,2020-02-29,100
France,2020-03-01,130
France,2020-03-02,191
France,2020-03-03,204
France,2020-03-04,288
France,2020-03-05,380
France,2020-03-06,656
France,2020-03-07,959
France,2020-03-08,1136
France,2020-03-09,1219
France,2020-03-10,1794
France,2020-03-11,2293
France,2020-03-12,2293
France,2020-03-13,3681
France,2020-03-14,4496
France,2020-03-15,4532
France,2020-03-16,6683
France,2020-03-17,7715
France,2020-03-18,9124
France,2020-03-19,10970
France,2020-03-20,12758
France,2020-03-21,14463
France,2020-03-22,16243
France,2020-03-23,20123
France,2020-03-24,22622
France,2020-03-25,25600
France,2020-03-26,29551
France,2020-03-27,33402
France,2020-03-28,38105
France,2020-03-29,40708
France,2020-03-30,45170
France,2020-03-31,52827
France,2020-04-01,57749
France,2020-04-02,59929
France,2020-04-03,65202
France,2020-04-04,69500
France,2020-04-05,71412
France,2020-04-06,75343
France,2020-04-07,79163
France,2020-04-08,83057
France,2020-04-09,87366
France,2020-04-10,91738
France,2020-04-11,94863
France,2020-04-12,121712
France,2020-04-13,125394
France,2020-04-14,130365
France,2020-04-15,133585
France,2020-04-16,146075
France,2020-04-17,148084
France,2020-04-18,148086
France,2020-04-19,153011
France,2020-04-20,155393
France,2020-04-21,158168
France,2020-04-22,155980
France,2020-04-23,158303
France,2020-04-24,159952
France,2020-04-25,161644
France,2020-04-26,162220
France,2020-04-27,165963
France,2020-04-28,169053
France,2020-04-29,166543
France,2020-04-30,167299
France,2020-05-01,167305
France,2020-05-02,168518
France,2020-05-03,168925
France,2020-05-04,169583
France,2020-05-05,170687
France,2020-05-06,174224
France,2020-05-07,174918
France,2020-05-08,176202
France,2020-05-09,176782
France,2020-05-10,177094
France,2020-05-11,177547
France,2020-05-12,178349
France,2020-05-13,178184
France,2020-05-14,178994
France,2020-05-15,179630
France,2020-05-16,179630
France,2020-05-17,179693
France,2020-05-18,180051
France,2020-05-19,180933
France,2020-05-20,181700
France,2020-05-21,181951
France,2020-05-22,182354
France,2020-05-23,182694
France,2020-05-24,182709
France,2020-05-25,183067
France,2020-05-26,182847
France,2020-05-27,183038
France,2020-05-28,186364
France,2020-05-29,186923
France,2020-05-30,188752
France,2020-05-31,189009
France,2020-06-01,189348
France,2020-06-02,188582
France,2020-06-03,188934
France,2020-06-04,189701
France,2020-06-05,190312
France,2020-06-06,190891
France,2020-06-07,191234
France,2020-06-08,191445
France,2020-06-09,191849
France,2020-06-10,192394
France,2020-06-11,192819
France,2020-06-12,193546
France,2020-06-13,194072
France,2020-06-14,194479
France,2020-06-15,194631
France,2020-06-16,194975
France,2020-06-17,195433
France,2020-06-18,195900
France,2020-06-19,196711
France,2020-06-20,197352
France,2020-06-21,197636
France,2020-06-22,198009
France,2020-06-23,198526
France,2020-06-24,198607
France,2020-06-25,198607
France,2020-06-26,200195
France,2020-06-27,200195
France,2020-06-28,199476
France,2020-06-29,201522
France,2020-06-30,202063
France,2020-07-01,202981
France,2020-07-02,203640
France,2020-07-03,204222
France,2020-07-04,204222
France,2020-07-05,204222
France,2020-07-06,205597
France,2020-07-07,206072
France,2020-07-08,206072
France,2020-07-09,207356
France,2020-07-10,208015
France,2020-07-11,208015
France,2020-07-12,208015
France,2020-07-13,209640
France,2020-07-14,209640
France,2020-07-15,210568
France,2020-07-16,211102
France,2020-07-17,211943
France,2020-07-18,211943
France,2020-07-19,211943
France,2020-07-20,214023
France,2020-07-21,214607
France,2020-07-22,215605
France,2020-07-23,216667
France,2020-07-24,217797
France,2020-07-25,217801
France,2020-07-26,217801
France,2020-07-27,220352
France,2020-07-28,221077
France,2020-07-29,221077
France,2020-07-30,222469
France,2020-07-31,225197
Germany,2020-01-22,0
Germany,2020-01-23,0
Germany,2020-01-24,0
Germany,2020-01-25,0
Germany,2020-01-26,0
Germany,2020-01-27,1
Germany,2020-01-28,4
Germany,2020-01-29,4
Germany,2020-01-30,4
Germany,2020-01-31,5
Germany,2020-02-01,8
Germany,2020-02-02,10
Germany,2020-02-03,12
Germany,2020-02-04,12
Germany,2020-02-05,12
Germany,2020-02-06,12
Germany,2020-02-07,13
Germany,2020-02-08,13
Germany,2020-02-09,14
Germany,2020-02-10,14
Germany,2020-02-11,16
Germany,2020-02-12,16
Germany,2020-02-13,16
Germany,2020-02-14,16
Germany,2020-02-15,16
Germany,2020-02-16,16
Germany,2020-02-17,16
Germany,2020-02-18,16
Germany,2020-02-19,16
Germany,2020-02-20,16
Germany,2020-02-21,16
Germany,2020-02-22,16
Germany,2020-02-23,16
Germany,2020-02-24,16
Germany,2020-02-25,17
Germany,2020-02-26,27
Germany,2020-02-27,46
Germany,2020-02-28,48
Germany,2020-02-29,79
Germany,2020-03-01,130
Germany,2020-03-02,159
Germany,2020-03-03,196
Germany,2020-03-04,262
Germany,2020-03-05,482
Germany,2020-03-06,670
Germany,2020-03-07,799
Germany,2020-03-08,1040
Germany,2020-03-09,1176
Germany,2020-03-10,1457
Germany,2020-03-11,1908
Germany,2020-03-12,2078
Germany,2020-03-13,3675
Germany,2020-03-14,4585
Germany,2020-03-15,5795
Germany,2020-03-16,7272
Germany,2020-03-17,9257
Germany,2020-03-18,12327
Germany,2020-03-19,15320
Germany,2020-03-20,19848
Germany,2020-03-21,22213
Germany,2020-03-22,24873
Germany,2020-03-23,29056
Germany,2020-03-24,32986
Germany,2020-03-25,37323
Germany,2020-03-26,43938
Germany,2020-03-27,50871
Germany,2020-03-28,57695
Germany,2020-03-29,62095
Germany,2020-03-30,66885
Germany,2020-03-31,71808
Germany,2020-04-01,77872
Germany,2020-04-02,84794
Germany,2020-04-03,91159
Germany,2020-04-04,96092
Germany,2020-04-05,100123
Germany,2020-04-06,103374
Germany,2020-04-07,107663
Germany,2020-04-08,113296
Germany,2020-04-09,118181
Germany,2020-04-10,122171
Germany,2020-04-11,124908
Germany,2020-04-12,127854
Germany,2020-04-13,130072
